Calculated Dose,Regular,APL,Regenboogen
20,"10.0,10.0","",""
20,"10.0,10.0","",""
20,"10.0,10.0","",""
20,"10.0,10.0","",""
20,"10.0,10.0","",""
20,"10.0,10.0","",""
20,"10.0,10.0","",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
18,"10.0","2.0,2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
16,"10.0","2.0,2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
14,"10.0","2.0,2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
12,"10.0","2.0",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
10,"10.0","",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
4,"","2.0,2.0",""
4,"","2.0,2.0",""
4,"","2.0,2.0",""
