Calculated Dose,Regular,APL,Regenboogen
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
145,"","90.0,5.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
140,"","90.0,5.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
135,"","90.0,5.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
125,"","90.0,5.0,30.0",""
120,"","90.0,30.0",""
120,"","90.0,30.0",""
120,"","90.0,30.0",""
120,"","90.0,30.0",""
120,"","90.0,30.0",""
120,"","90.0,30.0",""
120,"","90.0,30.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
