Calculated Dose,Regular,APL,Regenboogen
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
15.0,"10.0","1.0,1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
14.0,"10.0","1.0,1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
13.0,"10.0","1.0,1.0,1.0",""
12.0,"10.0","1.0,1.0",""
12.0,"10.0","1.0,1.0",""
12.0,"10.0","1.0,1.0",""
12.0,"10.0","1.0,1.0",""
12.0,"10.0","1.0,1.0",""
12.0,"10.0","1.0,1.0",""
12.0,"10.0","1.0,1.0",""
11.0,"10.0","1.0",""
11.0,"10.0","1.0",""
11.0,"10.0","1.0",""
11.0,"10.0","1.0",""
11.0,"10.0","1.0",""
11.0,"10.0","1.0",""
11.0,"10.0","1.0",""
10.0,"10.0","",""
10.0,"10.0","",""
10.0,"10.0","",""
