Calculated Dose,Regular,APL,Regenboogen
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
128.5,"75.0,37.5,10.0","2.0,2.0,2.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
110.0,"37.5,37.5,10.0,10.0,10.0","5.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
80.0,"37.5,37.5","5.0",""
80.0,"37.5,37.5","5.0",""
80.0,"37.5,37.5","5.0",""
80.0,"37.5,37.5","5.0",""
80.0,"37.5,37.5","5.0",""
80.0,"37.5,37.5","5.0",""
80.0,"37.5,37.5","5.0",""
68.0,"37.5,10.0","2.0,18.5",""
68.0,"37.5,10.0","2.0,18.5",""
68.0,"37.5,10.0","2.0,18.5",""
68.0,"37.5,10.0","2.0,18.5",""
68.0,"37.5,10.0","2.0,18.5",""
68.0,"37.5,10.0","2.0,18.5",""
68.0,"37.5,10.0","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
58.0,"37.5","2.0,18.5",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
50.0,"10.0,10.0,10.0,10.0,10.0","",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
43.0,"","2.0,2.0,2.0,18.5,18.5",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
37.0,"10.0,10.0,10.0","5.0,2.0",""
32.0,"10.0,10.0,10.0","2.0",""
32.0,"10.0,10.0,10.0","2.0",""
32.0,"10.0,10.0,10.0","2.0",""
32.0,"10.0,10.0,10.0","2.0",""
32.0,"10.0,10.0,10.0","2.0",""
32.0,"10.0,10.0,10.0","2.0",""
32.0,"10.0,10.0,10.0","2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
28.0,"10.0,10.0","2.0,2.0,2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
24.0,"10.0,10.0","2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
21.0,"10.0","5.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
18.0,"10.0","2.0,2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
16.0,"10.0","2.0,2.0,2.0",""
14.0,"10.0","2.0,2.0",""
14.0,"10.0","2.0,2.0",""
14.0,"10.0","2.0,2.0",""
14.0,"10.0","2.0,2.0",""
14.0,"10.0","2.0,2.0",""
14.0,"10.0","2.0,2.0",""
14.0,"10.0","2.0,2.0",""
12.0,"10.0","2.0",""
12.0,"10.0","2.0",""
12.0,"10.0","2.0",""
12.0,"10.0","2.0",""
12.0,"10.0","2.0",""
12.0,"10.0","2.0",""
12.0,"10.0","2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
11.0,"","5.0,2.0,2.0,2.0",""
10.0,"10.0","",""
10.0,"10.0","",""
10.0,"10.0","",""
10.0,"10.0","",""
10.0,"10.0","",""
10.0,"10.0","",""
10.0,"10.0","",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
9.0,"","5.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
8.0,"","2.0,2.0,2.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
7.0,"","5.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
6.0,"","2.0,2.0,2.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
5.0,"","5.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
4.0,"","2.0,2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
2.0,"","2.0",""
