Calculated Dose,Regular,APL,Regenboogen
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
86.0,"50.0,25.0","5.0,5.0",""
86.0,"50.0,25.0","5.0,5.0",""
86.0,"50.0,25.0","5.0,5.0",""
86.0,"50.0,25.0","5.0,5.0",""
86.0,"50.0,25.0","5.0,5.0",""
86.0,"50.0,25.0","5.0,5.0",""
86.0,"50.0,25.0","5.0,5.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
64.0,"50.0","5.0,5.0,2.0,2.0",""
56.0,"50.0","5.0",""
56.0,"50.0","5.0",""
56.0,"50.0","5.0",""
56.0,"50.0","5.0",""
56.0,"50.0","5.0",""
56.0,"50.0","5.0",""
56.0,"50.0","5.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
48.0,"25.0","5.0,5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
42.0,"25.0","5.0,5.0,5.0,2.0",""
36.0,"25.0","5.0,5.0",""
36.0,"25.0","5.0,5.0",""
36.0,"25.0","5.0,5.0",""
36.0,"25.0","5.0,5.0",""
36.0,"25.0","5.0,5.0",""
36.0,"25.0","5.0,5.0",""
36.0,"25.0","5.0,5.0",""
32.0,"25.0","5.0,2.0",""
32.0,"25.0","5.0,2.0",""
32.0,"25.0","5.0,2.0",""
32.0,"25.0","5.0,2.0",""
32.0,"25.0","5.0,2.0",""
32.0,"25.0","5.0,2.0",""
32.0,"25.0","5.0,2.0",""
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
28.0,"25.0","2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
24.0,"","5.0,5.0,5.0,5.0,2.0,2.0",""
