Calculated Dose,Regular,APL,Regenboogen
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
100.0,"50.0,50.0","",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
96.0,"50.0,25.0","5.0,5.0,5.0,5.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
92.0,"50.0,25.0","5.0,5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
88.0,"50.0,25.0","5.0,5.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
84.0,"50.0,25.0","5.0,2.0,2.0",""
80.0,"50.0,25.0","5.0",""
80.0,"50.0,25.0","5.0",""
80.0,"50.0,25.0","5.0",""
80.0,"50.0,25.0","5.0",""
80.0,"50.0,25.0","5.0",""
80.0,"50.0,25.0","5.0",""
80.0,"50.0,25.0","5.0",""
76.0,"50.0,25.0","",""
76.0,"50.0,25.0","",""
76.0,"50.0,25.0","",""
76.0,"50.0,25.0","",""
76.0,"50.0,25.0","",""
76.0,"50.0,25.0","",""
76.0,"50.0,25.0","",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
74.0,"50.0","5.0,5.0,5.0,5.0,2.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
72.0,"50.0","5.0,5.0,5.0,5.0,2.0",""
