Calculated Dose,Regular,APL,Regenboogen
300.0,"150.0","50.0,50.0,20.0,20.0,10.0",""
285.0,"150.0","50.0,50.0,20.0,10.0,5.0",""
275.0,"150.0","50.0,50.0,10.0,10.0,5.0",""
265.0,"150.0","50.0,50.0,5.0,5.0,5.0",""
255.0,"150.0","50.0,20.0,20.0,10.0,5.0",""
245.0,"150.0","50.0,20.0,10.0,10.0,5.0",""
235.0,"150.0","50.0,20.0,5.0,5.0,5.0",""
225.0,"150.0","50.0,10.0,5.0,5.0,5.0",""
215.0,"150.0","50.0,5.0,5.0,5.0",""
205.0,"150.0","20.0,20.0,5.0,5.0,5.0",""
195.0,"150.0","20.0,10.0,5.0,5.0,5.0",""
190.0,"150.0","20.0,5.0,5.0,5.0,5.0",""
185.0,"150.0","10.0,10.0,5.0,5.0,5.0",""
180.0,"150.0","10.0,5.0,5.0,5.0,5.0",""
175.0,"150.0","5.0,5.0,5.0,5.0,5.0",""
170.0,"150.0","5.0,5.0,5.0,5.0",""
165.0,"","50.0,50.0,50.0,5.0,5.0,5.0",""
160.0,"","50.0,50.0,50.0,5.0,5.0",""
155.0,"","50.0,50.0,20.0,20.0,10.0,5.0",""
150.0,"","50.0,50.0,20.0,20.0,5.0,5.0",""
145.0,"","50.0,50.0,20.0,10.0,10.0,5.0",""
140.0,"","50.0,50.0,20.0,10.0,5.0,5.0",""
135.0,"","50.0,50.0,20.0,5.0,5.0,5.0",""
130.0,"","50.0,50.0,10.0,10.0,5.0,5.0",""
125.0,"","50.0,50.0,10.0,5.0,5.0,5.0",""
120.0,"","50.0,50.0,5.0,5.0,5.0,5.0",""
115.0,"","50.0,50.0,5.0,5.0,5.0",""
110.0,"","50.0,20.0,20.0,10.0,5.0,5.0",""
105.0,"","50.0,20.0,20.0,5.0,5.0,5.0",""
100.0,"","50.0,20.0,10.0,10.0,5.0,5.0",""
95.0,"","50.0,20.0,10.0,5.0,5.0,5.0",""
90.0,"","50.0,20.0,5.0,5.0,5.0,5.0",""
85.0,"","50.0,10.0,10.0,5.0,5.0,5.0",""
80.0,"","50.0,10.0,5.0,5.0,5.0,5.0",""
75.0,"","50.0,5.0,5.0,5.0,5.0,5.0",""
70.0,"","50.0,5.0,5.0,5.0,5.0",""
65.0,"","20.0,20.0,10.0,5.0,5.0,5.0",""
60.0,"","20.0,20.0,5.0,5.0,5.0,5.0",""
55.0,"","20.0,10.0,10.0,5.0,5.0,5.0",""
50.0,"","20.0,10.0,5.0,5.0,5.0,5.0",""
45.0,"","20.0,5.0,5.0,5.0,5.0,5.0",""
40.0,"","10.0,10.0,5.0,5.0,5.0,5.0",""
35.0,"","10.0,5.0,5.0,5.0,5.0,5.0",""
30.0,"","5.0,5.0,5.0,5.0,5.0,5.0",""
25.0,"","5.0,5.0,5.0,5.0,5.0",""
20.0,"","5.0,5.0,5.0,5.0",""
15.0,"","5.0,5.0,5.0",""
10.0,"","5.0,5.0",""
5.0,"","5.0",""
