Calculated Dose,Regular,APL,Regenboogen
270,"150.0","50.0,50.0,20.0",""
270,"150.0","50.0,50.0,20.0",""
270,"150.0","50.0,50.0,20.0",""
270,"150.0","50.0,50.0,20.0",""
270,"150.0","50.0,50.0,20.0",""
270,"150.0","50.0,50.0,20.0",""
270,"150.0","50.0,50.0,20.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
205,"150.0","50.0,5.0",""
205,"150.0","50.0,5.0",""
205,"150.0","50.0,5.0",""
205,"150.0","50.0,5.0",""
205,"150.0","50.0,5.0",""
205,"150.0","50.0,5.0",""
205,"150.0","50.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
185,"150.0","20.0,10.0,5.0",""
170,"150.0","20.0",""
170,"150.0","20.0",""
170,"150.0","20.0",""
170,"150.0","20.0",""
170,"150.0","20.0",""
170,"150.0","20.0",""
170,"150.0","20.0",""
155,"150.0","5.0",""
155,"150.0","5.0",""
155,"150.0","5.0",""
155,"150.0","5.0",""
155,"150.0","5.0",""
155,"150.0","5.0",""
155,"150.0","5.0",""
140,"","50.0,50.0,20.0,20.0",""
140,"","50.0,50.0,20.0,20.0",""
140,"","50.0,50.0,20.0,20.0",""
140,"","50.0,50.0,20.0,20.0",""
140,"","50.0,50.0,20.0,20.0",""
140,"","50.0,50.0,20.0,20.0",""
140,"","50.0,50.0,20.0,20.0",""
130,"","50.0,50.0,20.0,10.0",""
130,"","50.0,50.0,20.0,10.0",""
130,"","50.0,50.0,20.0,10.0",""
130,"","50.0,50.0,20.0,10.0",""
130,"","50.0,50.0,20.0,10.0",""
130,"","50.0,50.0,20.0,10.0",""
130,"","50.0,50.0,20.0,10.0",""
120,"","50.0,50.0,20.0",""
120,"","50.0,50.0,20.0",""
120,"","50.0,50.0,20.0",""
120,"","50.0,50.0,20.0",""
120,"","50.0,50.0,20.0",""
120,"","50.0,50.0,20.0",""
120,"","50.0,50.0,20.0",""
110,"","50.0,50.0,10.0",""
110,"","50.0,50.0,10.0",""
110,"","50.0,50.0,10.0",""
