Calculated Dose,Regular,APL,Regenboogen
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
130,"","90.0,5.0,5.0,30.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
115,"","90.0,5.0,5.0,5.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
100,"","90.0,5.0,5.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
85,"","5.0,5.0,5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
75,"","5.0,5.0,5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
65,"","5.0,30.0,30.0",""
60,"","30.0,30.0",""
60,"","30.0,30.0",""
60,"","30.0,30.0",""
60,"","30.0,30.0",""
60,"","30.0,30.0",""
60,"","30.0,30.0",""
60,"","30.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
55,"","5.0,5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
50,"","5.0,5.0,5.0,5.0,30.0",""
45,"","5.0,5.0,5.0,30.0",""
45,"","5.0,5.0,5.0,30.0",""
45,"","5.0,5.0,5.0,30.0",""
