Calculated Dose,Regular,APL,Regenboogen
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
25,"","5.0,5.0,5.0,5.0,5.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
22,"","5.0,5.0,5.0,5.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
19,"","5.0,5.0,5.0,2.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
17,"","5.0,5.0,5.0,2.0",""
15,"","5.0,5.0,5.0",""
15,"","5.0,5.0,5.0",""
15,"","5.0,5.0,5.0",""
15,"","5.0,5.0,5.0",""
15,"","5.0,5.0,5.0",""
15,"","5.0,5.0,5.0",""
15,"","5.0,5.0,5.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
13,"","5.0,2.0,2.0,2.0,2.0",""
12,"","5.0,5.0,2.0",""
12,"","5.0,5.0,2.0",""
12,"","5.0,5.0,2.0",""
12,"","5.0,5.0,2.0",""
12,"","5.0,5.0,2.0",""
12,"","5.0,5.0,2.0",""
12,"","5.0,5.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
11,"","5.0,2.0,2.0,2.0",""
10,"","5.0,5.0",""
10,"","5.0,5.0",""
10,"","5.0,5.0",""
10,"","5.0,5.0",""
10,"","5.0,5.0",""
10,"","5.0,5.0",""
10,"","5.0,5.0",""
9,"","5.0,2.0,2.0",""
9,"","5.0,2.0,2.0",""
9,"","5.0,2.0,2.0",""
9,"","5.0,2.0,2.0",""
9,"","5.0,2.0,2.0",""
9,"","5.0,2.0,2.0",""
9,"","5.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
8,"","2.0,2.0,2.0,2.0",""
7,"","5.0,2.0",""
7,"","5.0,2.0",""
7,"","5.0,2.0",""
7,"","5.0,2.0",""
7,"","5.0,2.0",""
7,"","5.0,2.0",""
7,"","5.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
6,"","2.0,2.0,2.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
5,"","5.0",""
