Calculated Dose,Regular,APL,Regenboogen
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
150.0,"37.5,37.5,37.5,37.5","",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
143.0,"37.5,37.5,37.5,10.0","2.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
136.0,"37.5,37.5,37.5","5.0,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
130.0,"37.5","18.5,18.5,18.5,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
124.0,"37.5,37.5,10.0","2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
118.0,"75.0","2.0,2.0,2.0,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
113.0,"37.5,10.0,10.0","18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
108.0,"37.5,10.0","5.0,18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
103.0,"37.5,10.0","18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
98.0,"37.5","5.0,18.5,18.5,18.5",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
94.0,"37.5,37.5,10.0","5.0,2.0,2.0",""
90.0,"37.5,37.5,10.0","5.0",""
90.0,"37.5,37.5,10.0","5.0",""
90.0,"37.5,37.5,10.0","5.0",""
90.0,"37.5,37.5,10.0","5.0",""
90.0,"37.5,37.5,10.0","5.0",""
90.0,"37.5,37.5,10.0","5.0",""
90.0,"37.5,37.5,10.0","5.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
86.0,"37.5,37.5","5.0,2.0,2.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
82.0,"37.5,37.5","5.0,2.0",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
78.0,"37.5,10.0,10.0","2.0,18.5",""
75.0,"37.5,37.5","",""
75.0,"37.5,37.5","",""
75.0,"37.5,37.5","",""
75.0,"37.5,37.5","",""
75.0,"37.5,37.5","",""
75.0,"37.5,37.5","",""
75.0,"37.5,37.5","",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
72.0,"37.5,10.0","2.0,2.0,2.0,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
69.0,"10.0,10.0,10.0","2.0,18.5,18.5",""
66.0,"37.5,10.0","18.5",""
66.0,"37.5,10.0","18.5",""
66.0,"37.5,10.0","18.5",""
66.0,"37.5,10.0","18.5",""
66.0,"37.5,10.0","18.5",""
66.0,"37.5,10.0","18.5",""
66.0,"37.5,10.0","18.5",""
63.0,"37.5","5.0,2.0,18.5",""
63.0,"37.5","5.0,2.0,18.5",""
63.0,"37.5","5.0,2.0,18.5",""
63.0,"37.5","5.0,2.0,18.5",""
63.0,"37.5","5.0,2.0,18.5",""
63.0,"37.5","5.0,2.0,18.5",""
63.0,"37.5","5.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
60.0,"37.5","2.0,2.0,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
57.0,"10.0,10.0","18.5,18.5",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
55.0,"10.0,10.0,10.0,10.0,10.0","5.0",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
53.0,"10.0","2.0,2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
51.0,"10.0","2.0,2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
49.0,"10.0","2.0,18.5,18.5",""
47.0,"10.0,10.0,10.0,10.0","5.0,2.0",""
