Calculated Dose,Regular,APL,Regenboogen
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
50.0,"25.0","10.0,5.0,5.0,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
48.4,"22.1,8.8","10.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
46.3,"25.0,8.8","5.0,2.5,2.5,2.5",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
44.0,"8.8,8.8,8.8,8.8,8.8","",""
42.1,"22.1","10.0,2.5,2.5,2.5,2.5",""
42.1,"22.1","10.0,2.5,2.5,2.5,2.5",""
42.1,"22.1","10.0,2.5,2.5,2.5,2.5",""
42.1,"22.1","10.0,2.5,2.5,2.5,2.5",""
42.1,"22.1","10.0,2.5,2.5,2.5,2.5",""
